[2025-08-23 15:05:25.278779851] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.281606238] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.284524449] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.287773077] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.290622796] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.293504779] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.296450808] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.299329008] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.302274318] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.305180176] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.308371593] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.311275472] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.314158959] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.316912425] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.319726118] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.322777413] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.325637094] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.328458850] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.331324794] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.334292427] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.337146156] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.340003244] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.342745121] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.345655740] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.348370324] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.351242591] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.354134199] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.357082183] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.359831953] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.362499191] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.365257381] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.368192642] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.371031505] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.373989356] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.376804190] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.380069809] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.382901021] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.386003445] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.389152517] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.391980613] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.394845929] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.397960032] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.400989607] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.403697431] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.406422773] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.409294323] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.412032574] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.414844449] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.418003059] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.421480045] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.424313979] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.427364014] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.430170063] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.432882473] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.435645487] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.438698183] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.441522584] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.444514943] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.447613104] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.450997730] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.453768495] hello sys_read was called by node (PID: 499632, TGID: 499632)
[2025-08-23 15:05:25.456959673] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.459686051] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.462384204] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.465310577] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.468296637] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.471093594] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.473992274] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.476725409] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.479719485] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.482489197] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.485275349] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.488167283] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.491257168] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.494563985] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.498079644] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.500994384] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.503990384] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.506823632] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.509789137] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.512984598] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.516358417] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.519710316] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.522599040] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.525515445] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.528977803] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.532191104] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.535095000] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.537954012] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.540857507] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.543642647] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.546634597] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.549368731] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.552503692] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.555540035] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.558151549] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.561178478] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.564062444] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.566913606] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.569592346] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.572789859] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.575656694] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.578609210] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.581735625] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.584535685] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.587311809] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.590287155] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.593354921] hello sys_read was called by node (PID: 499667, TGID: 499654)
[2025-08-23 15:05:25.596245458] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.599038154] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.601889619] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.604640953] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.607521058] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.610297124] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.613036615] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.616274563] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.618983542] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.621838372] hello sys_read was called by node (PID: 481077, TGID: 481064)
[2025-08-23 15:05:25.624553340] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.627404468] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.630175500] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.633121430] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.636102965] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.639138358] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.642050250] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.644793749] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.647712594] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.650614740] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.653512339] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.656325199] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.659025268] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
[2025-08-23 15:05:25.661905683] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.664838434] hello sys_read was called by sudo (PID: 502970, TGID: 502970)
[2025-08-23 15:05:25.667965270] hello sys_write was called by cilium_probe (PID: 502977, TGID: 502972)
